Table V9.0,fnGetKeys.Key,fnGetKeys.Description,fnGetKeys.Duplicates,fnGetKeys.Activity code
ADOCFLD,ADZ0,LAN+MOTCLE,No,
ADOCFLD,ADZ1,MOTCLE+LAN,No,
ADOCFNC,ADF0,TYP+COD+NUM,No,
ADOCUMENT,ADO0,LAN+TYP+COD+LEV+SUBLEV,No,
ADOCUMENT,ADO1,LAN+TYP+COD+PAR,Yes,
ADOCUMENT,ADO2,COD+LEV+SUBLEV,Yes,
ADOCUMENT,ADO3,TYP+COD+LEV+SUBLEV,Yes,
ADOPAR,ADP0,CHAPITRE+PARAM,No,
ADOPAR,ADP1,PARAM,No,
ADOPAR,ADP3,CHAPITRE+RANG+PARAM,No,
ADOPAR,ADP4,OBJET+PARAM,No,
ADOPAR,ADP5,CHAPITRE+GRPPAR+PARAM,No,
ADOSACT,ADA0,DOSSIER+CODACT,No,
ADOSDIM,ADE0,DOSSIER+DIMCOD,No,
ADOSLIV,ADK0,DOSSIER+COD,No,
ADOSSIER,DOSSIER,DOSSIER,No,
ADOSSOL,ADD0,DOSSIER+NUMLIG,No,
ADOVAL,ADW0,CMP+FCY+PARAM,No,
ADOVAL,ADW1,PARAM+CMP+FCY,No,
ADOVALAUS,ADU0,CODUSR+PARAM,No,
ADOVALAUS,ADU1,PARAM+CODUSR,No,
ADOVALGRP,ADG0,CHAPITRE+GRPPAR+GRPDEF+PARAM,No,
ADOVALGRP,ADG1,GRPDEF+CHAPITRE+GRPPAR+PARAM,No,
ADOVALHIS,AHW0,CMP+FCY+PARAM,No,
ADOVALHIS,AHW1,PARAM+CMP+FCY,No,
AECLIDBG,AEG0,NUMLIG,No,
AECLIDBG,AEG1,DOSSIER+LOGIN,Yes,
AECLIRDV,AEC0,NUMLIG,No,
AECLIRDV,AEC1,DOSSIER+LOGIN,Yes,
AELT,ELT0,ELTTYP+ELT+ELTLAN,No,
AELT,ELT1,ELTTYP+ELTINV+ELT+ELTLAN,No,
AELTLINK,ELK0,ELTTYP+ELT+ELTTYPLK+ELTLK,No,
AELTLINK,ELK1,ELTTYPLK+ELTLK+ELTTYP+ELT,No,
